,WeekType,Time,Station,Direction1,Direction2
0,WEEKDAY,0,EW1,0,0
1,WEEKDAY,0,EW2,71,677
2,WEEKDAY,0,EW3,71,984
3,WEEKDAY,0,EW4,53,1172
4,WEEKDAY,0,EW5,48,1286
5,WEEKDAY,0,EW6,47,1432
6,WEEKDAY,0,EW7,46,1517
7,WEEKDAY,0,EW8,45,1534
8,WEEKDAY,0,EW9,48,1366
9,WEEKDAY,0,EW10,46,1278
10,WEEKDAY,0,EW11,45,1312
11,WEEKDAY,0,EW12,1,1297
12,WEEKDAY,0,EW13,82,852
13,WEEKDAY,0,EW14,79,665
14,WEEKDAY,0,EW15,86,208
15,WEEKDAY,0,EW16,101,112
16,WEEKDAY,0,EW17,145,64
17,WEEKDAY,0,EW18,163,55
18,WEEKDAY,0,EW19,194,54
19,WEEKDAY,0,EW20,213,54
20,WEEKDAY,0,EW21,306,54
21,WEEKDAY,0,EW22,327,0
22,WEEKDAY,0,EW23,505,0
23,WEEKDAY,0,EW24,817,0
24,WEEKDAY,0,EW25,812,0
25,WEEKDAY,0,EW26,601,0
26,WEEKDAY,0,EW27,388,0
27,WEEKDAY,0,EW28,87,0
28,WEEKDAY,0,EW29,85,0
29,WEEKDAY,0,EW30,78,0
30,WEEKDAY,0,EW31,51,0
31,WEEKDAY,0,EW32,13,0
32,WEEKDAY,0,EW33,0,0
33,WEEKDAY,0,NS1,1893,0
34,WEEKDAY,0,NS2,2105,861
35,WEEKDAY,0,NS3,2106,1422
36,WEEKDAY,0,NS4,2320,1777
37,WEEKDAY,0,NS5,2134,2324
38,WEEKDAY,0,NS6,2134,2849
39,WEEKDAY,0,NS7,2558,2849
40,WEEKDAY,0,NS8,2933,2536
41,WEEKDAY,0,NS9,3848,2762
42,WEEKDAY,0,NS10,3548,3033
43,WEEKDAY,0,NS11,3165,3852
44,WEEKDAY,0,NS12,3111,4558
45,WEEKDAY,0,NS13,2531,4633
46,WEEKDAY,0,NS14,2139,4293
47,WEEKDAY,0,NS15,1928,4041
48,WEEKDAY,0,NS16,387,3868
49,WEEKDAY,0,NS17,394,4065
50,WEEKDAY,0,NS18,293,3729
51,WEEKDAY,0,NS19,134,3824
52,WEEKDAY,0,NS20,126,3814
53,WEEKDAY,0,NS21,124,3761
